state,party,omalley_del,clinton_del,sanders_del,huckabee_del,cruz_del,kasich_del,carson_del,trump_del,rubio_del,bush_del,fiorina_del,paul_del,uncommitted_del
PR,GOP,,,,0,0,0,0,0,23,0,0,0,0
RI,GOP,,,,0,2,5,0,12,0,0,0,0,0
SC,GOP,,,,0,0,0,0,50,0,0,0,0,0
SD,GOP,,,,0,0,0,0,0,0,0,0,0,0
TN,GOP,,,,0,16,0,0,33,9,0,0,0,0
TX,GOP,,,,0,104,0,0,48,3,0,0,0,0
UT,GOP,,,,0,40,0,0,0,0,0,0,0,0
VT,GOP,,,,0,0,8,0,8,0,0,0,0,0
VI,GOP,,,,0,0,0,0,0,0,0,0,0,6
VA,GOP,,,,0,8,5,3,17,16,0,0,0,0
WA,GOP,,,,0,0,0,0,0,0,0,0,0,0
WV,GOP,,,,0,0,1,0,30,0,0,0,0,0
WI,GOP,,,,0,36,0,0,6,0,0,0,0,0
WY,GOP,,,,0,23,0,0,1,1,0,0,0,1
